"name" "first" "second" "gender" "confidence_male"
"Christopher G Small" "Christopher" NA "male" "0.995"
"Christopher Genovese" "Christopher" NA "male" "0.995"
"Christopher H Holloman" "Christopher" NA "male" "0.995"
"Christopher J Nachtsheim" "Christopher" NA "male" "0.995"
"Christopher J Paciorek" "Christopher" NA "male" "0.995"
"Christopher Jennison" "Christopher" NA "male" "0.995"
"Christopher K Carter" "Christopher" NA "male" "0.995"
"Christopher K Wikle" "Christopher" NA "male" "0.995"
"Christopher L Sanders" "Christopher" NA "male" "0.995"
"Christopher M Quale" "Christopher" NA "male" "0.995"
"Christopher Ma" "Christopher" NA "male" "0.995"
"Christopher Meek" "Christopher" NA "male" "0.995"
"Christopher Morrell" "Christopher" NA "male" "0.995"
"Christopher R Bilder" "Christopher" NA "male" "0.995"
"Christopher R Gjestvang" "Christopher" NA "male" "0.995"
"Christopher Woods" "Christopher" NA "male" "0.995"
"Chu-In Charles Lee" "Chu-In" "Charles" "male" "0.9949"
"Chuan Ju" "Chuan" NA "unknown" NA
"Chuanhai Liu" "Chuanhai" NA "unknown" NA
"Chuanhua Xing" "Chuanhua" NA "unknown" NA
"Chun-Lung Su" "Chun-Lung" NA "unknown" NA
"Chun-Shu Chen" "Chun-Shu" NA "unknown" NA
"Chun Li" "Chun" NA "male" "0.8078"
"Chunfang Jin" "Chunfang" NA "unknown" NA
"Chunfeng Huang" "Chunfeng" NA "unknown" NA
"Chung-Ming Kuan" "Chung-Ming" NA "unknown" NA
"Chunjie Wu" "Chunjie" NA "unknown" NA
"Chunlei Ke" "Chunlei" NA "unknown" NA
"Chunling Liu" "Chunling" NA "unknown" NA
"Chunming Zhang" "Chunming" NA "unknown" NA
"Ci-Ren Jiang" "Ci-Ren" NA "unknown" NA
"Cindy Long Yu" "Cindy" "Long" "female" "0.0028"
"Cinzia Carota" "Cinzia" NA "female" "0"
"Ciprian A Tudor" "Ciprian" NA "male" "1"
"Ciprian M Crainiceanu" "Ciprian" NA "male" "1"
"Claire E Pothier" "Claire" NA "female" "0.0061"
"Claire Tomlin" "Claire" NA "female" "0.0061"
"Claudia Czado" "Claudia" NA "female" "0.0051"
"Claudia Kirch" "Claudia" NA "female" "0.0051"
"Claudia Kluppelberg" "Claudia" NA "female" "0.0051"
"Claudia R Sahm" "Claudia" NA "female" "0.0051"
"Claudia Tarantola" "Claudia" NA "female" "0.0051"
"Claudia Tebaldi" "Claudia" NA "female" "0.0051"
"Clayton Scott" "Clayton" NA "male" "0.9957"
"Clifford Lam" "Clifford" NA "male" "0.9931"
"Clifford M Hurvich" "Clifford" NA "male" "0.9931"
"Clint Scovel" "Clint" NA "male" "0.9981"
"Clive G Bowsher" "Clive" NA "male" "1"
"Colin Hall" "Colin" NA "male" "0.996"
"Colin M Beale" "Colin" NA "male" "0.996"
"Colin M Gallagher" "Colin" NA "male" "0.996"
"Conor Lawless" "Conor" NA "male" "0.9961"
"Constantine E Frangakis" "Constantine" NA "male" "0.9942"
"Cosma Rohilla Shalizi" "Cosma" "Rohilla" "male" "0.7318"
"Craig J Johns" "Craig" NA "male" "0.9964"
"Craig W Hendrix" "Craig" NA "male" "0.9964"
"Cristiano Varin" "Cristiano" NA "male" "1"
"Cristina Butucea" "Cristina" NA "female" "0.0051"
"Cristina Rueda" "Cristina" NA "female" "0.0051"
"Cristina Sotto" "Cristina" NA "female" "0.0051"
"Crystal J Scott" "Crystal" NA "female" "0.0034"
"Cun-Hui Zhang" "Cun-Hui" NA "unknown" NA
"Curtis Tatsuoka" "Curtis" NA "male" "0.9922"
"Cynthia Rudin" "Cynthia" NA "female" "0.0026"
"Cyr Emile MLan" "Cyr" "Emile" "male" "0.6542"
"Cyrus Mehta" "Cyrus" NA "male" "1"
"D A S Fraser" NA NA "unknown" NA
"D Azriel" NA NA "unknown" NA
"D C Woods" NA NA "unknown" NA
"D Campbell" NA NA "unknown" NA
"D Chauveau" NA NA "unknown" NA
"D F Signorini" NA NA "unknown" NA
"D Haziza" NA NA "unknown" NA
"D J Fletcher" NA NA "unknown" NA
"D Kuang" NA NA "unknown" NA
"D M Farewell" NA NA "unknown" NA
"D M Titterington" NA NA "unknown" NA
"D Magirr" NA NA "unknown" NA
"D Mastropietro" NA NA "unknown" NA
"D Mikis Stasinopoulos" NA "Mikis" "unknown" NA
"D Nicolae" NA NA "unknown" NA
"D P Kroese" NA NA "unknown" NA
"D Pati" NA NA "unknown" NA
"D R Cox" NA NA "unknown" NA
"D S Choi" NA NA "unknown" NA
"D Sadykova" NA NA "unknown" NA
"D V Hinkley" NA NA "unknown" NA
"D Vogel" NA NA "unknown" NA
"D Walsh" NA NA "unknown" NA
"Dabao Zhang" "Dabao" NA "unknown" NA
"Dacheng Xiu" "Dacheng" NA "unknown" NA
"Dag Johan Steinskog" "Dag" "Johan" "male" "1"
"Dag Tjostheim" "Dag" NA "male" "1"
"Dai Feng" "Dai" NA "male" "0.629"
"Dale L Zimmerman" "Dale" NA "male" "0.9175"
"Dalho Kim" "Dalho" NA "unknown" NA
"Damaraju Raghavarao" "Damaraju" NA "unknown" NA
"Damla Senturk" "Damla" NA "female" "0"
"Dan Black" "Dan" NA "male" "0.9954"
"Dan Cornford" "Dan" NA "male" "0.9954"
"Dan Geiger" "Dan" NA "male" "0.9954"
"Dan J Spitzner" "Dan" NA "male" "0.9954"
"Dan Nettleton" "Dan" NA "male" "0.9954"
"Dan Yu Lin" "Dan" "Yu" "male" "0.9954"
"Dandan Jiang" "Dandan" NA "unknown" NA
"Dandan Liu" "Dandan" NA "unknown" NA
"Daniel A Henderson" "Daniel" NA "male" "0.9954"
"Daniel B Neill" "Daniel" NA "male" "0.9954"
"Daniel B Rowe" "Daniel" NA "male" "0.9954"
"Daniel Commenges" "Daniel" NA "male" "0.9954"
"Daniel Cooley" "Daniel" NA "male" "0.9954"
"Daniel E Ho" "Daniel" NA "male" "0.9954"
"Daniel Egloff" "Daniel" NA "male" "0.9954"
"Daniel Gervini" "Daniel" NA "male" "0.9954"
"Daniel J Nordman" "Daniel" NA "male" "0.9954"
"Daniel J Sargent" "Daniel" NA "male" "0.9954"
"Daniel Krewski" "Daniel" NA "male" "0.9954"
"Daniel Merl" "Daniel" NA "male" "0.9954"
"Daniel Molefe" "Daniel" NA "male" "0.9954"
"Daniel Pena" "Daniel" NA "male" "0.9954"
"Daniel Q Naiman" "Daniel" NA "male" "0.9954"
"Daniel Rabinowitz" "Daniel" NA "male" "0.9954"
"Daniel Scharfstein" "Daniel" NA "male" "0.9954"
"Daniel Straumann" "Daniel" NA "male" "0.9954"
"Daniel Yekutieli" "Daniel" NA "male" "0.9954"
"Daniel Zantedeschi" "Daniel" NA "male" "0.9954"
"Daniela M Witten" "Daniela" NA "female" "0.003"
"Daniell Toth" "Daniell" NA "female" "0.2639"
"Danilo Mercurio" "Danilo" NA "male" "1"
"Dankmar Bohning" "Dankmar" NA "unknown" NA
"Danny Pfeffermann" "Danny" NA "male" "0.9944"
"Dariusz Ucinski" "Dariusz" NA "male" "1"
"Darren J Wilkinson" "Darren" NA "male" "0.994"
"Dave Higdon" "Dave" NA "male" "0.9985"
"David A Harville" "David" NA "male" "0.9963"
"David A Stephens" "David" NA "male" "0.9963"
"David A van Dyk" "David" NA "male" "0.9963"
"David B Dahl" "David" NA "male" "0.9963"
"David B Hitchcock" "David" NA "male" "0.9963"
"David B Matchar" "David" NA "male" "0.9963"
"David B Wolfson" "David" NA "male" "0.9963"
"David Banks" "David" NA "male" "0.9963"
"David Bo Shen" "David" "Bo" "male" "0.9963"
"David Caplan" "David" NA "male" "0.9963"
"David Causeur" "David" NA "male" "0.9963"
"David Cavallini" "David" NA "male" "0.9963"
"David Chan" "David" NA "male" "0.9963"
"David Clayton" "David" NA "male" "0.9963"
"David Conne" "David" NA "male" "0.9963"
"David Daniel Smith" "David" "Daniel" "male" "0.9963"
"David Draper" "David" NA "male" "0.9963"
"David Dunson" "David" NA "male" "0.9963"
"David E Tyler" "David" NA "male" "0.9963"
"David F Layton" "David" NA "male" "0.9963"
"David Faraggi" "David" NA "male" "0.9963"
"David Firth" "David" NA "male" "0.9963"
"David Harris" "David" NA "male" "0.9963"
"David I Warton" "David" NA "male" "0.9963"
"David J Evans" "David" NA "male" "0.9963"
"David J Nott" "David" NA "male" "0.9963"
"David J Schwab" "David" NA "male" "0.9963"
"David Kraus" "David" NA "male" "0.9963"
"David L Donoho" "David" NA "male" "0.9963"
"David Lusseau" "David" NA "male" "0.9963"
"David M Blei" "David" NA "male" "0.9963"
"David M Higdon" "David" NA "male" "0.9963"
"David M Holland" "David" NA "male" "0.9963"
"David M Kaziska" "David" NA "male" "0.9963"
"David M Mankoff" "David" NA "male" "0.9963"
"David M Mason" "David" NA "male" "0.9963"
"David M Ruth" "David" NA "male" "0.9963"
"David M Steinberg" "David" NA "male" "0.9963"
"David M Zucker" "David" NA "male" "0.9963"
"David Neil Hayes" "David" "Neil" "male" "0.9963"
"David Oakes" "David" NA "male" "0.9963"
"David Papp" "David" NA "male" "0.9963"
"David Pollard" "David" NA "male" "0.9963"
"David R Hunter" "David" NA "male" "0.9963"
"David Rossell" "David" NA "male" "0.9963"
"David Ruppert" "David" NA "male" "0.9963"
"David S Matteson" "David" NA "male" "0.9963"
"David S Stoffer" "David" NA "male" "0.9963"
"David Siegmund" "David" NA "male" "0.9963"
"David Sparrow" "David" NA "male" "0.9963"
"David Spiegelhalter" "David" NA "male" "0.9963"
"David T Jacho-Chavez" "David" NA "male" "0.9963"
"David V Glidden" "David" NA "male" "0.9963"
"David Vlahov" "David" NA "male" "0.9963"
"David W MacFarlane" "David" NA "male" "0.9963"
"David Wyncoll" "David" NA "male" "0.9963"
"David Y Pee" "David" NA "male" "0.9963"
"Davide Ferrari" "Davide" NA "male" "1"
"Davide La Vecchia" "Davide" "La" "male" "1"
"Davy Paindaveine" "Davy" NA "male" "0.9529"
"Dawei Xie" "Dawei" NA "male" "1"
"Dawit Zerom" "Dawit" NA "male" "1"
"Dawn B Woodard" "Dawn" NA "female" "0.0033"
"Dean A Follmann" "Dean" NA "male" "0.9875"
"Dean P Foster" "Dean" NA "male" "0.9875"
"Debajyoti Sinha" "Debajyoti" NA "unknown" NA
"Debashis Ghosh" "Debashis" NA "unknown" NA
"Debashis Mondal" "Debashis" NA "unknown" NA
"Debashis Paul" "Debashis" NA "unknown" NA
"Debbie J Dupuis" "Debbie" NA "female" "0.0022"
"Debopam Bhattacharya" "Debopam" NA "unknown" NA
"Deborah Burr" "Deborah" NA "female" "0.0021"
"Dechang Chen" "Dechang" NA "unknown" NA
"Dejun Tang" "Dejun" NA "male" "1"
"Deli Wang" "Deli" NA "female" "0.2121"
"Denis Belomestny" "Denis" NA "male" "0.9556"
"Denis Heng-Yan Leung" "Denis" "Heng-Yan" "male" "0.9556"
"Denis Larocque" "Denis" NA "male" "0.9556"
"Denise Babineau" "Denise" NA "female" "0.0035"
"Dennis Cook" "Dennis" NA "male" "0.9956"
"Dennis D Boos" "Dennis" NA "male" "0.9956"
"Dennis D Cox" "Dennis" NA "male" "0.9956"
"Dennis K J Lin" "Dennis" NA "male" "0.9956"
"Dennis Prangle" "Dennis" NA "male" "0.9956"
"Dennis Young" "Dennis" NA "male" "0.9956"
"Derek A T Cummings" "Derek" NA "male" "0.9956"
"Derek Bingham" "Derek" NA "male" "0.9956"
"Desislava Nedyalkova" "Desislava" NA "unknown" NA
"Despina Vasileiou" "Despina" NA "female" "0"
"Deyuan Li" "Deyuan" NA "unknown" NA
"Diana J Cole" "Diana" NA "female" "0.0035"
"Diana L Miglioretti" "Diana" NA "female" "0.0035"
"Diana M Sima" "Diana" NA "female" "0.0035"
"Diane Lambert" "Diane" NA "female" "0.0025"
"Diane M Makuc" "Diane" NA "female" "0.0025"
"Dibyen Majumdar" "Dibyen" NA "unknown" NA
"Didier Concordet" "Didier" NA "male" "1"
"Didier Guillemot" "Didier" NA "male" "1"
"Dietrich Braess" "Dietrich" NA "male" "0.9062"
"Dimitris Fouskakis" "Dimitris" NA "male" "1"
"Dimitris N Politis" "Dimitris" NA "male" "1"
"Dimitris Rizopoulos" "Dimitris" NA "male" "1"
"Dinah Rosenberg" "Dinah" NA "female" "0"
"Dinggang Shen" "Dinggang" NA "unknown" NA
"Dinis Pestana" "Dinis" NA "male" "1"
"Dipak K Dey" "Dipak" NA "male" "1"
"Dixin Zhang" "Dixin" NA "unknown" NA
"Djalil Chafai" "Djalil" NA "unknown" NA
"Dmitry Beletsky" "Dmitry" NA "male" "1"
"Dmitry Panchenko" "Dmitry" NA "male" "1"
"Do-Hwan Park" "Do-Hwan" NA "unknown" NA
"Dobrin Marchev" "Dobrin" NA "unknown" NA
"Domenico Marinucci" "Domenico" NA "male" "1"
"Dominic Dillane" "Dominic" NA "male" "0.9907"
"Dominic Schuhmacher" "Dominic" NA "male" "0.9907"
"Dominique Bontemps" "Dominique" NA "female" "0.2884"
"Dominique Chouaniere" "Dominique" NA "female" "0.2884"
"Dominique Picard" "Dominique" NA "female" "0.2884"
"Don Alderson" "Don" NA "male" "0.9937"
"Don L Stevens Jr" "Don" NA "male" "0.9937"
"Donald A Berry" "Donald" NA "male" "0.9961"
"Donald A Pierce" "Donald" NA "male" "0.9961"
"Donald B Rubin" "Donald" NA "male" "0.9961"
"Donald Geman" "Donald" NA "male" "0.9961"
"Donald S Burke" "Donald" NA "male" "0.9961"
"Donatello Telesca" "Donatello" NA "male" "1"
"Dong Chen" "Dong" NA "male" "1"
"Dong Han" "Dong" NA "male" "1"
"Dong Li" "Dong" NA "male" "1"
"Dong Wang" "Dong" NA "male" "1"
"Dongchu Sun" "Dongchu" NA "unknown" NA
"Donghoh Kim" "Donghoh" NA "unknown" NA
"Dongjun Chung" "Dongjun" NA "unknown" NA
"Donglin Zeng" "Donglin" NA "unknown" NA
"Dongsheng Tu" "Dongsheng" NA "unknown" NA
"Dongyu Lin" "Dongyu" NA "unknown" NA
"Donna Neuberg" "Donna" NA "female" "0.0025"
"Donna P Ankerst" "Donna" NA "female" "0.0025"
"Dorin Drignei" "Dorin" NA "male" "0.862"
"Doug Nychka" "Doug" NA "male" "0.9998"
"Douglas E Schaubel" "Douglas" NA "male" "0.9965"
"Douglas G Simpson" "Douglas" NA "male" "0.9965"
"Douglas N Midthune" "Douglas" NA "male" "0.9965"
"Douglas P Wiens" "Douglas" NA "male" "0.9965"
"Douglas W Nychka" "Douglas" NA "male" "0.9965"
"Dragi Anevski" "Dragi" NA "unknown" NA
"Duchwan Ryu" "Duchwan" NA "unknown" NA
"Duncan K H Fong" "Duncan" NA "male" "0.9996"
"Dung-Tsa Chen" "Dung-Tsa" NA "unknown" NA
"Dursun A Bulutoglu" "Dursun" NA "unknown" NA
"Dylan S Small" "Dylan" NA "male" "0.9738"
"E A Catchpole" NA NA "unknown" NA
"E Andres Houseman" NA "Andres" "unknown" NA
"E Benhin" NA NA "unknown" NA
"E Diday" NA NA "unknown" NA
"E Ferreira" NA NA "unknown" NA
"E L Lehmann" NA NA "unknown" NA
"E M Airoldi" NA NA "unknown" NA
"E Marras" NA NA "unknown" NA
"E Moulines" NA NA "unknown" NA
"E R Williams" NA NA "unknown" NA
"E S Venkatraman" NA NA "unknown" NA
"E Saksman" NA NA "unknown" NA
"Earl Lawrence" "Earl" NA "male" "0.9927"
"Edgar Kublin" "Edgar" NA "male" "0.9952"
"Edsel A Pena" "Edsel" NA "male" "1"
"Eduard Belitser" "Eduard" NA "male" "1"
"Edward H Ip" "Edward" NA "male" "0.9957"
"Edward I George" "Edward" NA "male" "0.9957"
"Edward J Stanek III" "Edward" NA "male" "0.9957"
"Edward L Ionides" "Edward" NA "male" "0.9957"
"Edward L Korn" "Edward" NA "male" "0.9957"
"Edward R B McCabe" "Edward" NA "male" "0.9957"
"Edward W Frees" "Edward" NA "male" "0.9957"
"Edwin S Iversen Jr" "Edwin" NA "male" "0.9949"
"Efang Kong" "Efang" NA "unknown" NA
"Efi S Antoniou" "Efi" NA "male" "0.9524"
"Efstathios Paparoditis" "Efstathios" NA "male" "1"
"Efthymios G Tsionas" "Efthymios" NA "unknown" NA
"Egil Ferkingstad" "Egil" NA "male" "0.9505"
"Ehab F Abd-Elfattah" "Ehab" NA "male" "1"
"Eilon Solan" "Eilon" NA "unknown" NA
"Einar Andreas Rodland" "Einar" "Andreas" "male" "1"
"Eiran Z Gorodeski" "Eiran" NA "unknown" NA
"Eitan Greenshtein" "Eitan" NA "male" "1"
"Elaine Zanutto" "Elaine" NA "female" "0.0024"
"Elena Kulinskaya" "Elena" NA "female" "0.0016"
"Elena Stanghellini" "Elena" NA "female" "0.0016"
"Elias Moreno" "Elias" NA "male" "0.997"
"Elinor Ytterstad" "Elinor" NA "female" "0"
"Elizabeth A Stuart" "Elizabeth" NA "female" "0.0031"
"Elizabeth A Thompson" "Elizabeth" NA "female" "0.0031"
"Elizabeth H Slate" "Elizabeth" NA "female" "0.0031"
"Elizabeth S Allman" "Elizabeth" NA "female" "0.0031"
"Elizaveta Levina" "Elizaveta" NA "female" "0"
"Ellen J MacKenzie" "Ellen" NA "female" "0.0026"
"elodie Nedelec" "elodie" NA "female" "0"
"Eloise E Kaizar" "Eloise" NA "female" "0.002"
"Els Goetghebeur" "Els" NA "female" "0.1552"
"Elvezio Ronchetti" "Elvezio" NA "male" "1"
"Emiliano A Valdez" "Emiliano" NA "male" "1"
"Emilio Porcu" "Emilio" NA "male" "0.998"
"Emilio Seijo" "Emilio" NA "male" "0.998"
"Emily C Martin" "Emily" NA "female" "0.0021"
"Emily L Kang" "Emily" NA "female" "0.0021"
"Emma F Eastoe" "Emma" NA "female" "0.0021"
"Emma J McCoy" "Emma" NA "female" "0.0021"
"Emmanuel Gobet" "Emmanuel" NA "male" "0.9943"
"Emmanuel Guerre" "Emmanuel" NA "male" "0.9943"
"Emmanuel J Candes" "Emmanuel" NA "male" "0.9943"
"Emmanuel Lesaffre" "Emmanuel" NA "male" "0.9943"
"Emmanuel Yashchin" "Emmanuel" NA "male" "0.9943"
"Emmanuelle Varon" "Emmanuelle" NA "female" "0.2193"
"Enno Mammen" "Enno" NA "male" "0.7848"
"Enrique Castillo" "Enrique" NA "male" "0.9946"
"Enrique Schisterman" "Enrique" NA "male" "0.9946"
"Eric A Cator" "Eric" NA "male" "0.9947"
"Eric Aldrich" "Eric" NA "male" "0.9947"
"Eric B Laber" "Eric" NA "male" "0.9947"
"Eric Bair" "Eric" NA "male" "0.9947"
"Eric D Kolaczyk" "Eric" NA "male" "0.9947"
"Eric J Feuer" "Eric" NA "male" "0.9947"
"Eric J Tchetgen" "Eric" NA "male" "0.9947"
"Eric Johnson" "Eric" NA "male" "0.9947"
"eric Moulines" "eric" NA "male" "0.9947"
"Eric Moulines" "Eric" NA "male" "0.9947"
"Eric Parent" "Eric" NA "male" "0.9947"
"Eric V Slud" "Eric" NA "male" "0.9947"
"Erica E M Moodie" "Erica" NA "female" "0.0042"
"Erika Antal" "Erika" NA "female" "0.0042"
"Erin E Peterson" "Erin" NA "female" "0.0267"
"Ery Arias-Castro" "Ery" NA "male" "1"
"Esa Ollila" "Esa" NA "male" "0.7926"
"Esben Budtz-Jorgensen" "Esben" NA "male" "1"
"Estate V Khmaladze" "Estate" NA "female" "0"
"Ethan B Anderes" "Ethan" NA "male" "0.9981"
"Etienne Josserand" "Etienne" NA "male" "0.9325"
"Etienne Roquain" "Etienne" NA "male" "0.9325"
"Eugene E Clothiaux" "Eugene" NA "male" "0.9936"
"Eugene H Blackstone" "Eugene" NA "male" "0.9936"
"Eugenia Buta" "Eugenia" NA "female" "6e-04"
"Eugenio Regazzini" "Eugenio" NA "male" "1"
"Euijung Ryu" "Euijung" NA "unknown" NA
"Eunsik Park" "Eunsik" NA "unknown" NA
"Eustasio del Barrio" "Eustasio" "del" "male" "1"
"Eva B Vedel Jensen" "Eva" NA "female" "0.0037"
"Eva Petkova" "Eva" NA "female" "0.0037"
"Evarist Gine" "Evarist" NA "male" "1"
"F Ballani" NA NA "unknown" NA
"F DuBois Bowman" NA "DuBois" "unknown" NA
"F F Gan" NA NA "unknown" NA
"F Ferraty" NA NA "unknown" NA
"F Gosselin" NA NA "unknown" NA
"F Javier Giron" NA "Javier" "unknown" NA
"F Jay Breidt" NA "Jay" "unknown" NA
"F Liu" NA NA "unknown" NA
"F Maaouia" NA NA "unknown" NA
"F Zhou" NA NA "unknown" NA
"F Zoe Moodie" NA "Zoe" "unknown" NA
"Fabienne Comte" "Fabienne" NA "female" "0"
"Fabio Corradi" "Fabio" NA "male" "1"
"Fabio Trojani" "Fabio" NA "male" "1"
"Fabrizia Mealli" "Fabrizia" NA "unknown" NA
"Fadoua Balabdaoui" "Fadoua" NA "unknown" NA
"Faming Liang" "Faming" NA "unknown" NA
"Fan Li" "Fan" NA "female" "0"
"Fang Fang" "Fang" NA "male" "0.7806"
"Fang Yao" "Fang" NA "male" "0.7806"
"Fanny Villers" "Fanny" NA "female" "0"
"Fasheng Sun" "Fasheng" NA "unknown" NA
"Fatemah Alqallaf" "Fatemah" NA "female" "0"
"Fatima Salgueiro" "Fatima" NA "female" "0.0016"
"Fauzia Paize" "Fauzia" NA "female" "0"
"Federico J OReilly" "Federico" NA "male" "0.9993"
"Fei Wang" "Fei" NA "unknown" NA
"Fei Zou" "Fei" NA "unknown" NA
"Feifang Hu" "Feifang" NA "unknown" NA
"Feike C Drost" "Feike" NA "unknown" NA
"Felix Abramovich" "Felix" NA "male" "0.9906"
"Feng Guo" "Feng" NA "male" "1"
"Feng Liang" "Feng" NA "male" "1"
"Fengchang Lin" "Fengchang" NA "unknown" NA
"Fengrong Wei" "Fengrong" NA "unknown" NA
"Fernando A Quintana" "Fernando" NA "male" "0.9929"
"Fernando Antonio Da Silva Moura" "Fernando" "Antonio" "male" "0.9929"
"Finbarr OSullivan" "Finbarr" NA "male" "1"
"Finn Lindgren" "Finn" NA "male" "0.9815"
"Flavio Ziegelmann" "Flavio" NA "male" "1"
"Florentina Bunea" "Florentina" NA "female" "0"
"Florian Frommlet" "Florian" NA "male" "0.9964"
"Florin Vaida" "Florin" NA "male" "1"
"Forrest Spencer" "Forrest" NA "male" "0.9832"
"Francesca Chiaromonte" "Francesca" NA "female" "0.0013"
"Francesca Dominici" "Francesca" NA "female" "0.0013"
"Francesco Audrino" "Francesco" NA "male" "1"
"Francesco Bartolucci" "Francesco" NA "male" "1"
"Francesco Bravo" "Francesco" NA "male" "1"
"Francis R Bach" "Francis" NA "male" "0.9125"
"Francis X Diebold" "Francis" NA "male" "0.9125"
"Francisco Martinez-Murillo" "Francisco" NA "male" "0.9921"
"Francois Perron" "Francois" NA "male" "0.9963"
"Francois Roueff" "Francois" NA "male" "0.9963"
"Frank Bretz" "Frank" NA "male" "0.9953"
"Frank Critchley" "Frank" NA "male" "0.9953"
"Frank G Ball" "Frank" NA "male" "0.9953"
"Frank H van der Meulen" "Frank" NA "male" "0.9953"
"Frank Miller" "Frank" NA "male" "0.9953"
"Franz Merkl" "Franz" NA "male" "1"
"Fred A Wright" "Fred" NA "male" "0.9952"
"Freda Cooner" "Freda" NA "female" "8e-04"
"Frederi G Viens" "Frederi" NA "male" "1"
"Frederic P Schoenberg" "Frederic" NA "male" "1"
"Frederic Y Bois" "Frederic" NA "male" "1"
"Frederick A Matsen" "Frederick" NA "male" "0.9952"
"Frederick K H Phoa" "Frederick" NA "male" "0.9952"
"Frederick Wong" "Frederick" NA "male" "0.9952"
"Fredrik A Dahl" "Fredrik" NA "male" "1"
"Friedrich K Port" "Friedrich" NA "male" "1"
"Fritz Scheuren" "Fritz" NA "male" "1"
"Fugee Tsung" "Fugee" NA "unknown" NA
"Fulvia Pennoni" "Fulvia" NA "female" "0"
"Fulvio De Santis" "Fulvio" "De" "female" "0.3076"
"Fumiyasu Komaki" "Fumiyasu" NA "unknown" NA
"Fuqing Gao" "Fuqing" NA "unknown" NA
"Fusheng Su" "Fusheng" NA "unknown" NA
"Fushing Hsieh" "Fushing" NA "unknown" NA
"G Alastair Young" NA "Alastair" "male" "1"
"G Chauvet" NA NA "unknown" NA
"G D Richardson" NA NA "unknown" NA
"G E Tita" NA NA "unknown" NA
"G Hooker" NA NA "unknown" NA
"G K Essick" NA NA "unknown" NA
"G O Mohler" NA NA "unknown" NA
"G Tavecchia" NA NA "unknown" NA
"Gabor J Szekely" "Gabor" NA "male" "1"
"Gabor Lugosi" "Gabor" NA "male" "1"
"Gabriel A Rodriguez-Yam" "Gabriel" NA "male" "0.9766"
"Gabriel Chandler" "Gabriel" NA "male" "0.9766"
"Gabriel Kuhn" "Gabriel" NA "male" "0.9766"
"Gabriel Lang" "Gabriel" NA "male" "0.9766"
"Gael M Martin" "Gael" NA "male" "0.9494"
"Galin L Jones" "Galin" NA "male" "1"
"Galit Shmueli" "Galit" NA "female" "0"
"Gang Li" "Gang" NA "male" "1"
"Ganggang Xu" "Ganggang" NA "unknown" NA
"Gardar Johannesson" "Gardar" NA "female" "0"
"Gareth Hughes" "Gareth" NA "male" "0.9984"
"Gareth M James" "Gareth" NA "male" "0.9984"
"Gareth Roberts" "Gareth" NA "male" "0.9984"
"Garrett M Fitzmaurice" "Garrett" NA "male" "0.9962"
"Garrick L Wallstrom" "Garrick" NA "male" "1"
"Gary King" "Gary" NA "male" "0.9962"
"Gary L Rosner" "Gary" NA "male" "0.9962"
"Gary Lorden" "Gary" NA "male" "0.9962"
"Gaurav Sharma" "Gaurav" NA "male" "1"
"Gauri Sankar Datta" "Gauri" "Sankar" "female" "0"
"Gautam Tripathi" "Gautam" NA "male" "1"
"Gavin Shaddick" "Gavin" NA "male" "0.9975"
"Gayle DeDe" "Gayle" NA "female" "0.0555"
"Geert Molenberghs" "Geert" NA "male" "1"
"Geert Verbeke" "Geert" NA "male" "1"
"Genevera I Allen" "Genevera" NA "female" "0"
"Geoff K Nicholls" "Geoff" NA "male" "1"
"Geoffrey S Ginsburg" "Geoffrey" NA "male" "0.9972"
"George C Newman" "George" NA "male" "0.9932"
"George C Tseng" "George" NA "male" "0.9932"
"George Casella" "George" NA "male" "0.9932"
"George G Judge" "George" NA "male" "0.9932"
"George Michailidis" "George" NA "male" "0.9932"
"George Poyiadjis" "George" NA "male" "0.9932"
"George R Terrell" "George" NA "male" "0.9932"
"George Tauchen" "George" NA "male" "0.9932"
"George V Moustakides" "George" NA "male" "0.9932"
"Georgi K Golubev" "Georgi" NA "female" "0.0784"
"Gerard Biau" "Gerard" NA "male" "0.998"
"Gerard J van den Berg" "Gerard" NA "male" "0.998"
"Gerard J Van Den Berg" "Gerard" NA "male" "0.998"
"Gerard Kerkyacharian" "Gerard" NA "male" "0.998"
"Gerard Letac" "Gerard" NA "male" "0.998"
"Gerda Claeskens" "Gerda" NA "female" "0"
"Gerhard Dikta" "Gerhard" NA "male" "1"
"Gerhard Osius" "Gerhard" NA "male" "1"
"German Molina" "German" NA "male" "0.9994"
"Gernot Wassmer" "Gernot" NA "unknown" NA
"Gersende Fort" "Gersende" NA "unknown" NA
"Gert Willems" "Gert" NA "male" "0.6769"
"Getulio J A Amaral" "Getulio" NA "unknown" NA
"Geurt Jongbloed" "Geurt" NA "male" "1"
"Gilad Lerman" "Gilad" NA "male" "1"
"Gilbert J Cote" "Gilbert" NA "male" "0.9947"
"Gilbert Mackenzie" "Gilbert" NA "male" "0.9947"
"Gilbert MacKenzie" "Gilbert" NA "male" "0.9947"
"Gilles Blanchard" "Gilles" NA "male" "1"
"Gilles Durrieu" "Gilles" NA "male" "1"
"Gilles R Ducharme" "Gilles" NA "male" "1"
"Giorgio E Montanari" "Giorgio" NA "male" "1"
"Giovanni M Marchetti" "Giovanni" NA "male" "0.9831"
"Giovanni Parmigiani" "Giovanni" NA "male" "0.9831"
